video_name,keypoint,visibility_group,frame,visibility,displacement
video (1).avi,nose,A,16,0.9797503352165222,0.02901626569049645
video (1).avi,left_shoulder,A,16,0.998744010925293,0.01566892668508646
video (1).avi,right_shoulder,A,16,0.978030264377594,0.2975516335200969
video (1).avi,left_hip,A,16,0.9970338940620422,0.08748818939941135
video (1).avi,right_hip,A,16,0.9949278235435486,0.04820616179527032
video (1).avi,nose,A,17,0.9809860587120056,0.1544986015971586
video (1).avi,left_shoulder,A,17,0.998776376247406,0.25361101966554706
video (1).avi,right_shoulder,A,17,0.979185938835144,0.06140225184113579
video (1).avi,left_hip,A,17,0.9960588216781616,0.08195729865201691
video (1).avi,right_hip,A,17,0.9906165599822998,0.12983813718291698
video (1).avi,nose,A,18,0.9810412526130676,0.11331125872235388
video (1).avi,left_shoulder,A,18,0.9982828497886658,0.1788082679126122
video (1).avi,right_shoulder,A,18,0.979885995388031,0.05929783797781902
video (1).avi,left_hip,A,18,0.9939150810241699,0.22029665321739206
video (1).avi,right_hip,A,18,0.9851874709129333,0.018069465617763108
video (1).avi,nose,A,19,0.9826052188873291,0.0760021508475026
video (1).avi,left_shoulder,A,19,0.9984337091445923,0.0441958372584349
video (1).avi,right_shoulder,A,19,0.9810788035392761,0.055276912603941374
video (1).avi,left_hip,A,19,0.9935104846954346,0.05774802560461609
video (1).avi,right_hip,A,19,0.9823293089866638,0.0739468334398818
video (1).avi,nose,A,20,0.98387211561203,0.10047443558661348
video (1).avi,left_shoulder,A,20,0.9985718727111816,0.2221544508018784
video (1).avi,right_shoulder,A,20,0.981967031955719,0.1442461729968785
video (1).avi,left_hip,A,20,0.9930293560028076,0.06332375670521315
video (1).avi,right_hip,A,20,0.9775102138519287,0.12182902645596164
video (1).avi,nose,A,21,0.9848860502243042,0.10174695670457903
video (1).avi,left_shoulder,A,21,0.998654842376709,0.08220600691793585
video (1).avi,right_shoulder,A,21,0.9830333590507507,0.1473794443683609
video (1).avi,left_hip,A,21,0.9918850660324097,0.08238397519376839
video (1).avi,right_hip,A,21,0.9752815365791321,0.035177323060468134
video (1).avi,nose,A,22,0.9861825108528137,0.05614807913886826
video (1).avi,left_shoulder,A,22,0.9987725019454956,0.09168657132757999
video (1).avi,right_shoulder,A,22,0.9843186736106873,0.020293416530934996
video (1).avi,left_hip,A,22,0.9923728704452515,0.07762017635278873
video (1).avi,right_hip,A,22,0.9753915667533875,0.058860539536610676
video (1).avi,nose,A,23,0.9873685240745544,0.09043713140466991
video (1).avi,left_shoulder,A,23,0.998887836933136,0.05976210457751441
video (1).avi,right_shoulder,A,23,0.9850402474403381,0.08338112090163184
video (1).avi,left_hip,A,23,0.993071973323822,0.044601206572876695
video (1).avi,right_hip,A,23,0.9761735200881958,0.10257028011988145
video (1).avi,nose,A,24,0.9881731867790222,0.11359273744299242
video (1).avi,left_shoulder,A,24,0.9989829659461975,0.08159232875282212
video (1).avi,right_shoulder,A,24,0.985773503780365,0.05860093969710662
video (1).avi,left_hip,A,24,0.9933508038520813,0.1810024068074403
video (1).avi,right_hip,A,24,0.9754133224487305,0.05003683953921939
video (1).avi,nose,A,25,0.9890132546424866,0.06808238998651575
video (1).avi,left_shoulder,A,25,0.9990651607513428,0.13279831348149276
video (1).avi,right_shoulder,A,25,0.9865507483482361,0.043243464655122625
video (1).avi,left_hip,A,25,0.9935400485992432,0.10772446079137188
video (1).avi,right_hip,A,25,0.9752146005630493,0.036106218072401726
video (1).avi,nose,A,26,0.9899486899375916,0.05110844401793487
video (1).avi,left_shoulder,A,26,0.9991461634635925,0.09901339918874658
video (1).avi,right_shoulder,A,26,0.98761385679245,0.026405381916129084
video (1).avi,left_hip,A,26,0.99334716796875,0.06314322584532939
video (1).avi,right_hip,A,26,0.9751971364021301,0.02509751850615823
video (1).avi,nose,A,27,0.9909282922744751,0.006340283014802269
video (1).avi,left_shoulder,A,27,0.9992257356643677,0.036495000702175845
video (1).avi,right_shoulder,A,27,0.9887796640396118,0.004059721064829306
video (1).avi,left_hip,A,27,0.9937790632247925,0.014015492576125027
video (1).avi,right_hip,A,27,0.9770682454109192,0.010590325354023036
video (1).avi,nose,A,28,0.9918063879013062,0.005089314794007416
video (1).avi,left_shoulder,A,28,0.9992967844009399,0.0077074117811197634
video (1).avi,right_shoulder,A,28,0.9898304343223572,0.003056685771700917
video (1).avi,left_hip,A,28,0.9941461086273193,0.011540074735966622
video (1).avi,right_hip,A,28,0.9787467122077942,0.00448424669513389
video (1).avi,nose,A,29,0.9925661683082581,0.022532694855399764
video (1).avi,left_shoulder,A,29,0.9993563294410706,0.05173886400916607
video (1).avi,right_shoulder,A,29,0.9907634854316711,0.017124555058286892
video (1).avi,left_hip,A,29,0.9945388436317444,0.018600901636195284
video (1).avi,right_hip,A,29,0.9803281426429749,0.0006796663569151887
video (1).avi,nose,A,30,0.9932681322097778,0.007845381739351308
video (1).avi,left_shoulder,A,30,0.9994135499000549,0.011506770575647153
video (1).avi,right_shoulder,A,30,0.9915881156921387,0.003605529057246086
video (1).avi,left_hip,A,30,0.9950018525123596,0.01651615075143629
video (1).avi,right_hip,A,30,0.9818952679634094,0.00230342475558596
video (1).avi,nose,A,31,0.9938787817955017,0.010578208181505197
video (1).avi,left_shoulder,A,31,0.9994635581970215,0.006447218420952784
video (1).avi,right_shoulder,A,31,0.9922606348991394,0.009071838634715026
video (1).avi,left_hip,A,31,0.9954026341438293,0.01463109288106334
video (1).avi,right_hip,A,31,0.9832836389541626,0.005945467742890322
video (1).avi,nose,A,32,0.994423508644104,0.00440457387346101
video (1).avi,left_shoulder,A,32,0.9995084404945374,0.026839117354529547
video (1).avi,right_shoulder,A,32,0.9929201006889343,0.01828856485242615
video (1).avi,left_hip,A,32,0.9957647323608398,0.015302461763340538
video (1).avi,right_hip,A,32,0.9844717979431152,0.014828471149868626
video (1).avi,nose,A,33,0.9948102831840515,0.046885422332300766
video (1).avi,left_shoulder,A,33,0.9995525479316711,0.011020460912418638
video (1).avi,right_shoulder,A,33,0.993514358997345,0.010411415739800985
video (1).avi,left_hip,A,33,0.9961520433425903,0.010377801827971612
video (1).avi,right_hip,A,33,0.9857143759727478,0.019582665198370805
video (1).avi,nose,A,34,0.9951891303062439,0.07495494016766664
video (1).avi,left_shoulder,A,34,0.9995892643928528,0.029159610227624505
video (1).avi,right_shoulder,A,34,0.9938724040985107,0.05783051312601137
video (1).avi,left_hip,A,34,0.9964977502822876,0.023904290299057187
video (1).avi,right_hip,A,34,0.9866045117378235,0.021544082868982118
video (1).avi,nose,A,35,0.9955506920814514,0.015455086665426974
video (1).avi,left_shoulder,A,35,0.9996218085289001,0.02189819621235665
video (1).avi,right_shoulder,A,35,0.9940118789672852,0.007257956719516413
video (1).avi,left_hip,A,35,0.9968265295028687,0.025958078914941427
video (1).avi,right_hip,A,35,0.9873299598693848,0.015050246663667726
video (1).avi,nose,A,36,0.9955661296844482,0.00765972955736551
video (1).avi,left_shoulder,A,36,0.9996389746665955,0.01396934906846418
video (1).avi,right_shoulder,A,36,0.9941973090171814,0.01741515031916849
video (1).avi,left_hip,A,36,0.997066855430603,0.01783208645475014
video (1).avi,right_hip,A,36,0.9877465963363647,0.012799200669520906
video (1).avi,nose,A,37,0.995603084564209,0.006590182462132666
video (1).avi,left_shoulder,A,37,0.9996572732925415,0.016075091285969838
video (1).avi,right_shoulder,A,37,0.9945371150970459,0.01410566074659087
video (1).avi,left_hip,A,37,0.9973041415214539,0.06423228254901181
video (1).avi,right_hip,A,37,0.9887064695358276,0.020473742231546646
video (1).avi,nose,A,38,0.9958900809288025,0.0005284771497044966
video (1).avi,left_shoulder,A,38,0.9996781945228577,0.007208729764738629
video (1).avi,right_shoulder,A,38,0.9948647022247314,0.003639013741962563
video (1).avi,left_hip,A,38,0.9975389838218689,0.004801245602462242
video (1).avi,right_hip,A,38,0.9896396398544312,0.021409980197474945
video (1).avi,nose,A,39,0.9961613416671753,0.014551436325650095
video (1).avi,left_shoulder,A,39,0.9996768832206726,0.010786126542925741
video (1).avi,right_shoulder,A,39,0.9952536225318909,0.005640023487510419
video (1).avi,left_hip,A,39,0.9976425766944885,0.010510437826172286
video (1).avi,right_hip,A,39,0.9902117848396301,0.04239609459505054
video (1).avi,nose,A,40,0.9964345097541809,0.012055511878015136
video (1).avi,left_shoulder,A,40,0.9996762871742249,0.000880101777540057
video (1).avi,right_shoulder,A,40,0.9956083297729492,0.02429846822024885
video (1).avi,left_hip,A,40,0.9978113174438477,0.03897659188830166
video (1).avi,right_hip,A,40,0.9909179210662842,0.010924248736007277
video (1).avi,nose,A,41,0.9966700077056885,0.012381963270367275
video (1).avi,left_shoulder,A,41,0.9996812343597412,0.00468871085286133
video (1).avi,right_shoulder,A,41,0.9958203434944153,0.019381253119233142
video (1).avi,left_hip,A,41,0.9979611039161682,0.021765178103724234
video (1).avi,right_hip,A,41,0.9913563132286072,0.012982732224557599
video (1).avi,nose,A,42,0.9969583749771118,0.04671340026539785
video (1).avi,left_shoulder,A,42,0.9997034668922424,0.01600089427560145
video (1).avi,right_shoulder,A,42,0.9960191249847412,0.046742429008162056
video (1).avi,left_hip,A,42,0.9981257319450378,0.0204162968319514
video (1).avi,right_hip,A,42,0.9918976426124573,0.023010745775664105
video (1).avi,nose,A,43,0.9972315430641174,0.03480178174253154
video (1).avi,left_shoulder,A,43,0.9997296929359436,0.049590167693013124
video (1).avi,right_shoulder,A,43,0.9963012337684631,0.07606589968561067
video (1).avi,left_hip,A,43,0.9983001947402954,0.007160320849483772
video (1).avi,right_hip,A,43,0.9925427436828613,0.032859718194840175
video (1).avi,nose,A,44,0.9973464012145996,0.11659156348526663
video (1).avi,left_shoulder,A,44,0.9997302293777466,0.07767664350893468
video (1).avi,right_shoulder,A,44,0.9960128664970398,0.15142998112827777
video (1).avi,left_hip,A,44,0.9984490871429443,0.007800659170409703
video (1).avi,right_hip,A,44,0.9930790662765503,0.09016747309044401
video (1).avi,nose,A,45,0.9972715377807617,0.06493870851038469
video (1).avi,left_shoulder,A,45,0.9996817708015442,0.03728424780377084
video (1).avi,right_shoulder,A,45,0.9957019686698914,0.09361884309268383
video (1).avi,left_hip,A,45,0.9985474348068237,0.01310097301507927
video (1).avi,right_hip,A,45,0.9933822751045227,0.014759650685855982
video (1).avi,nose,A,46,0.9974214434623718,0.03540218355100385
video (1).avi,left_shoulder,A,46,0.9996914863586426,0.024348898093444746
video (1).avi,right_shoulder,A,46,0.9956027269363403,0.03462096263439057
video (1).avi,left_hip,A,46,0.9986564517021179,0.01737924562159119
video (1).avi,right_hip,A,46,0.9937157034873962,0.017572924583464277
video (1).avi,nose,A,47,0.9975579380989075,0.037840106779246645
video (1).avi,left_shoulder,A,47,0.9997109770774841,0.043881154121410866
video (1).avi,right_shoulder,A,47,0.9957342743873596,0.038458618709330455
video (1).avi,left_hip,A,47,0.9987519383430481,0.021050056518625508
video (1).avi,right_hip,A,47,0.9939359426498413,0.02693376632673828
video (1).avi,nose,A,48,0.997592568397522,0.07548469093332988
video (1).avi,left_shoulder,A,48,0.9997282028198242,0.055211421107097244
video (1).avi,right_shoulder,A,48,0.9958983063697815,0.04657934210101924
video (1).avi,left_hip,A,48,0.9988352656364441,0.02936773248574606
video (1).avi,right_hip,A,48,0.994195282459259,0.023155595828681517
video (1).avi,nose,A,49,0.9977396130561829,0.13628028577937373
video (1).avi,left_shoulder,A,49,0.9997283816337585,0.04629345178585918
video (1).avi,right_shoulder,A,49,0.9961082339286804,0.11367000731701604
video (1).avi,left_hip,A,49,0.9989036917686462,0.01903732133899495
video (1).avi,right_hip,A,49,0.9944350123405457,0.06135857120335404
video (1).avi,nose,A,50,0.9978891611099243,0.0712882056633951
video (1).avi,left_shoulder,A,50,0.9997413754463196,0.05453250133262943
video (1).avi,right_shoulder,A,50,0.9963628053665161,0.07528224211218978
video (1).avi,left_hip,A,50,0.9989275336265564,0.025052739625727242
